"Abilene","TX","USA","32.454514,-99.738147"
"Aguadilla zona urbana","PR","USA",
"Albany","GA","USA","31.577669,-84.179453"
"Albany","NY","USA","42.665745,-73.798353"
"Schenectady","NY","USA","42.80184,-73.927295"
"Troy","NY","USA","42.735812,-73.675321"
"Saratoga Springs","NY","USA","43.06781,-73.777636"
"Albuquerque","NM","USA","35.105552,-106.647388"
"Alexandria","LA","USA","31.293449,-92.470189"
"Allentown","PA","USA","40.593966,-75.47816"
"Bethlehem","PA","USA","40.626424,-75.367898"
"Altoona","PA","USA","40.50819,-78.401306"
"Amarillo","TX","USA","35.19784,-101.828746"
"Anchorage","AK","USA","61.177549,-149.274354"
"Anniston","AL","USA","33.673441,-85.810918"
"Appleton","WI","USA","44.278819,-88.392626"
"Oshkosh","WI","USA","44.022628,-88.562352"
"Neenah","WI","USA","44.167597,-88.475999"
"Asheville","NC","USA","35.570977,-82.552738"
"Athens","GA","USA",
"Atlanta","GA","USA","33.762909,-84.422675"
"Auburn","AL","USA","32.607722,-85.489545"
"Opelika","AL","USA","32.660739,-85.37889"
"Augusta-Richmond","GA","USA",
"Aiken","GA","USA",
"Austin","TX","USA","30.307182,-97.755996"
"San Marcos","TX","USA","29.876898,-97.93157"
"Bakersfield","CA","USA","35.321213,-119.018292"
"Bangor","ME","USA","44.830629,-68.792397"
"Barnstable Town","MA","USA","41.662727,-70.357208"
"Yarmouth","MA","USA",
"Baton Rouge","LA","USA","30.448454,-91.125899"
"Beaumont","TX","USA","30.084343,-94.145774"
"Port Arthur","TX","USA","29.833402,-93.96632"
"Bellingham","WA","USA","48.75262,-122.469657"
"Benton Harbor","MI","USA","42.114158,-86.446772"
"Billings","MT","USA","45.789518,-108.549891"
"Biloxi","MS","USA","30.433711,-88.953409"
"Gulfport","MS","USA","30.416058,-89.071845"
"Pascagoula","MS","USA","30.360067,-88.556327"
"Binghamton","NY","USA","42.101331,-75.909369"
"Birmingham","AL","USA","33.527444,-86.799047"
"Bismarck","ND","USA","46.811038,-100.770102"
"Bloomington","IN","USA","39.1637,-86.524264"
"Bloomington","IL","USA","40.475777,-88.969912"
"Normal","IL","USA","40.52228,-88.986931"
"Boise City","ID","USA","43.598488,-116.231084"
"Nampa","ID","USA","43.582381,-116.563875"
"Boston","MA","USA","42.33196,-71.020173"
"Cambridge","MA","USA","42.375967,-71.118275"
"Lynn","MA","USA","42.474862,-70.962185"
"Waltham","MA","USA","42.388921,-71.242268"
"Gloucester","MA","USA","42.629024,-70.685828"
"Brockton","MA","USA","42.082543,-71.024638"
"Fitchburg","MA","USA","42.601979,-71.815876"
"Leominster","MA","USA","42.520838,-71.770876"
"Lawrence","MA","USA","42.700273,-71.161357"
"Lowell","MA","USA","42.638893,-71.322107"
"Manchester","MA","USA",
"Nashua","MA","USA",
"New Bedford","MA","USA","41.661303,-70.937913"
"Rochester","MA","USA",
"Portsmouth","MA","USA",
"Worcester","MA","USA","42.269478,-71.807783"
"Brownsville","TX","USA","26.018326,-97.453826"
"Harlingen","TX","USA","26.191204,-97.697383"
"San Benito","TX","USA","26.129398,-97.64405"
"Bryan","TX","USA","30.666576,-96.36552"
"College Station","TX","USA","30.588623,-96.29601"
"Buffalo","NY","USA","42.892492,-78.859686"
"Niagara Falls","NY","USA","43.092841,-79.014743"
"Burlington","VT","USA","44.491991,-73.239363"
"Canton","OH","USA","40.80765,-81.367228"
"Massillon","OH","USA","40.783773,-81.526604"
"Casper","WY","USA","42.840532,-106.320168"
"Cedar Rapids","IA","USA","41.967048,-91.67776"
"Champaign","IL","USA","40.115057,-88.273652"
"Urbana","IL","USA","40.110126,-88.197323"
"Charleston","SC","USA","32.817922,-79.958927"
"North Charleston","SC","USA","32.917342,-80.06515"
"Charleston","WV","USA","38.348692,-81.632324"
"Charlotte","NC","USA","35.208707,-80.830739"
"Gastonia","NC","USA","35.249223,-81.182939"
"Rock Hill","NC","USA",
"Kannapolis","NC","USA","35.47658,-80.6386"
"Concord","NC","USA","35.392048,-80.635543"
"Charlottesville","VA","USA","38.037658,-78.485381"
"Chattanooga","TN","USA","35.066464,-85.247065"
"Cheyenne","WY","USA","41.152195,-104.783238"
"Chicago","IL","USA","41.837551,-87.681844"
"Aurora","IL","USA","41.763455,-88.290099"
"Elgin","IL","USA","42.039639,-88.321709"
"Joliet","IL","USA","41.518066,-88.158354"
"Evanston","IL","USA","42.046391,-87.694353"
"North Chicago","IL","USA","42.316696,-87.859201"
"DeKalb","IL","USA","41.930614,-88.74783"
"Gary","IL","USA",
"East Chicago","IL","USA",
"Kankakee","IL","USA","41.103202,-87.867177"
"Kenosha","IL","USA",
"Chico","CA","USA","39.755159,-121.818797"
"Paradise","CA","USA","39.754192,-121.6064"
"Cincinnati","OH","USA","39.139902,-84.506447"
"Hamilton","OH","USA","39.394328,-84.565522"
"Middletown","OH","USA","39.502952,-84.364893"
"Clarksville","TN","USA","36.56643,-87.345216"
"Hopkinsville","TN","USA",
"Akron","OH","USA","41.080456,-81.52143"
"Kent","OH","USA","41.149143,-81.361122"
"Cleveland","OH","USA","41.478138,-81.679486"
"Lorain","OH","USA","41.438805,-82.179722"
"Elyria","OH","USA","41.373539,-82.108008"
"Colorado Springs","CO","USA","38.867255,-104.760749"
"Columbia","MO","USA","38.947939,-92.326097"
"Columbia","SC","USA","34.029783,-80.896566"
"Columbus","GA","USA","32.510197,-84.874946"
"Columbus","OH","USA","39.984799,-82.985044"
"Newark","OH","USA","40.069732,-82.424925"
"Lancaster","OH","USA","39.724737,-82.605275"
"Corpus Christi","TX","USA","27.754252,-97.173385"
"Corvallis","OR","USA","44.569949,-123.278286"
"Cumberland","MD","USA","39.651739,-78.757948"
"Dallas","TX","USA","32.794176,-96.765503"
"Irving","TX","USA","32.857748,-96.970022"
"Denton","TX","USA","33.215139,-97.141687"
"Fort Worth","TX","USA","32.779542,-97.346335"
"Arlington","TX","USA","32.700708,-97.124691"
"Danville","VA","USA","36.583334,-79.408071"
"Davenport","IA","USA","41.554104,-90.603997"
"Moline","IA","USA",
"Rock Island","IA","USA",
"Dayton","OH","USA","39.777394,-84.199632"
"Springfield","OH","USA","39.933758,-83.795757"
"Fairborn","OH","USA","39.795267,-84.011271"
"Daytona Beach","FL","USA","29.197328,-81.088145"
"Decatur","AL","USA","34.573039,-86.991684"
"Decatur","IL","USA","39.855983,-88.933746"
"Boulder","CO","USA","40.027443,-105.25174"
"Longmont","CO","USA","40.169853,-105.101841"
"Denver","CO","USA","39.761849,-104.880625"
"Greeley","CO","USA","40.414406,-104.771245"
"Des Moines","IA","USA","41.573946,-93.616708"
"Ann Arbor","MI","USA","42.275641,-83.731333"
"Detroit","MI","USA","42.383038,-83.102237"
"Dearborn","MI","USA","42.313057,-83.211488"
"Pontiac","MI","USA","42.649228,-83.287363"
"Port Huron","MI","USA","42.993766,-82.433743"
"Flint","MI","USA","43.024425,-83.691983"
"Dothan","AL","USA","31.233698,-85.406823"
"Dover","DE","USA","39.160606,-75.521659"
"Dubuque","IA","USA","42.502385,-90.705102"
"Duluth","MN","USA","46.783229,-92.11871"
"Superior","MN","USA",
"Eau Claire","WI","USA","44.821307,-91.494844"
"El Paso","TX","USA","31.84836,-106.426979"
"Elkhart","IN","USA","41.691167,-85.965132"
"Goshen","IN","USA","41.574921,-85.830793"
"Elmira","NY","USA","42.093388,-76.80961"
"Enid","OK","USA","36.405687,-97.869862"
"Erie","PA","USA","42.116594,-80.073503"
"Eugene","OR","USA","44.056748,-123.116207"
"Springfield","OR","USA","44.053947,-122.981225"
"Evansville","IN","USA","37.987734,-87.534703"
"Henderson","IN","USA",
"Fargo","ND","USA","46.865206,-96.829005"
"Moorhead","ND","USA",
"Fayetteville","NC","USA","35.08511,-78.980263"
"Fayetteville","AR","USA","36.071561,-94.16654"
"Springdale","AR","USA","36.186549,-94.15304"
"Rogers","AR","USA","36.315975,-94.154618"
