City,Location,RegionSeriesName,RegionNameSource,State
Abilene,"32.454514,-99.738147","Abilene, TX",FHFA,TX
Aguadilla zona urbana,,,,PR
Albany,"31.577669,-84.179453","Albany, GA",FHFA,GA
Albany,"42.665745,-73.798353","Albany-Schenectady-Troy, NY",FHFA,NY
Schenectady,"42.80184,-73.927295","Albany-Schenectady-Troy, NY",FHFA,NY
Troy,"42.735812,-73.675321","Albany-Schenectady-Troy, NY",FHFA,NY
Saratoga Springs,"43.06781,-73.777636","Albany-Schenectady-Troy, NY",FHFA,NY
Albuquerque,"35.105552,-106.647388","Albuquerque, NM",FHFA,NM
Alexandria,"31.293449,-92.470189","Alexandria, LA",FHFA,LA
Allentown,"40.593966,-75.47816","Allentown-Bethlehem-Easton, PA-NJ",FHFA,PA
Bethlehem,"40.626424,-75.367898","Allentown-Bethlehem-Easton, PA-NJ",FHFA,PA
Altoona,"40.50819,-78.401306","Altoona, PA",FHFA,PA
Amarillo,"35.19784,-101.828746","Amarillo, TX",FHFA,TX
Anchorage,"61.177549,-149.274354","Anchorage, AK",FHFA,AK
Anniston,"33.673441,-85.810918","Anniston-Oxford, AL",FHFA,AL
Appleton,"44.278819,-88.392626",,,WI
Oshkosh,"44.022628,-88.562352",,,WI
Neenah,"44.167597,-88.475999",,,WI
Asheville,"35.570977,-82.552738","Asheville, NC",FHFA,NC
Athens,,"Athens-Clarke County, GA",FHFA,GA
Atlanta,"33.762909,-84.422675","Atlanta-Sandy Springs-Marietta, GA",FHFA,GA
Auburn,"32.607722,-85.489545","Auburn-Opelika, AL",FHFA,AL
Opelika,"32.660739,-85.37889","Auburn-Opelika, AL",FHFA,AL
Augusta-Richmond,,"Augusta-Richmond County, GA-SC",FHFA,GA
Aiken,,"Augusta-Richmond County, GA-SC",FHFA,GA
Austin,"30.307182,-97.755996",,,TX
San Marcos,"29.876898,-97.93157",,,TX
Bakersfield,"35.321213,-119.018292","Bakersfield-Delano, CA",FHFA,CA
Bangor,"44.830629,-68.792397","Bangor, ME",FHFA,ME
Barnstable Town,"41.662727,-70.357208",,,MA
Yarmouth,,,,MA
Baton Rouge,"30.448454,-91.125899","Baton Rouge, LA",FHFA,LA
Beaumont,"30.084343,-94.145774","Beaumont-Port Arthur, TX",FHFA,TX
Port Arthur,"29.833402,-93.96632","Beaumont-Port Arthur, TX",FHFA,TX
Bellingham,"48.75262,-122.469657","Bellingham, WA",FHFA,WA
Benton Harbor,"42.114158,-86.446772",,,MI
Billings,"45.789518,-108.549891","Billings, MT",FHFA,MT
Biloxi,"30.433711,-88.953409",,,MS
Gulfport,"30.416058,-89.071845",,,MS
Pascagoula,"30.360067,-88.556327",,,MS
Binghamton,"42.101331,-75.909369","Binghamton, NY",FHFA,NY
Birmingham,"33.527444,-86.799047","Birmingham-Hoover, AL",FHFA,AL
Bismarck,"46.811038,-100.770102","Bismarck, ND",FHFA,ND
Bloomington,"39.1637,-86.524264","Bloomington, IN",FHFA,IN
Bloomington,"40.475777,-88.969912","Bloomington-Normal, IL",FHFA,IL
Normal,"40.52228,-88.986931","Bloomington-Normal, IL",FHFA,IL
Boise City,"43.598488,-116.231084","Boise City-Nampa, ID",FHFA,ID
Nampa,"43.582381,-116.563875","Boise City-Nampa, ID",FHFA,ID
Boston,"42.33196,-71.020173","Boston-Quincy, MA  (MSAD)",FHFA,MA
Cambridge,"42.375967,-71.118275","Boston-Quincy, MA  (MSAD)",FHFA,MA
Lynn,"42.474862,-70.962185","Boston-Quincy, MA  (MSAD)",FHFA,MA
Waltham,"42.388921,-71.242268","Boston-Quincy, MA  (MSAD)",FHFA,MA
Gloucester,"42.629024,-70.685828","Boston-Quincy, MA  (MSAD)",FHFA,MA
Brockton,"42.082543,-71.024638","Boston-Quincy, MA  (MSAD)",FHFA,MA
Fitchburg,"42.601979,-71.815876","Boston-Quincy, MA  (MSAD)",FHFA,MA
Leominster,"42.520838,-71.770876","Boston-Quincy, MA  (MSAD)",FHFA,MA
Lawrence,"42.700273,-71.161357","Boston-Quincy, MA  (MSAD)",FHFA,MA
Lowell,"42.638893,-71.322107","Boston-Quincy, MA  (MSAD)",FHFA,MA
Manchester,,"Boston-Quincy, MA  (MSAD)",FHFA,MA
Nashua,,"Boston-Quincy, MA  (MSAD)",FHFA,MA
New Bedford,"41.661303,-70.937913","Boston-Quincy, MA  (MSAD)",FHFA,MA
Rochester,,"Boston-Quincy, MA  (MSAD)",FHFA,MA
Portsmouth,,"Boston-Quincy, MA  (MSAD)",FHFA,MA
Worcester,"42.269478,-71.807783","Boston-Quincy, MA  (MSAD)",FHFA,MA
Brownsville,"26.018326,-97.453826",,,TX
Harlingen,"26.191204,-97.697383",,,TX
San Benito,"26.129398,-97.64405",,,TX
Bryan,"30.666576,-96.36552",,,TX
College Station,"30.588623,-96.29601",,,TX
Buffalo,"42.892492,-78.859686","Buffalo-Niagara Falls, NY",FHFA,NY
Niagara Falls,"43.092841,-79.014743","Buffalo-Niagara Falls, NY",FHFA,NY
Burlington,"44.491991,-73.239363","Burlington-South Burlington, VT",FHFA,VT
Canton,"40.80765,-81.367228","Canton-Massillon, OH",FHFA,OH
Massillon,"40.783773,-81.526604","Canton-Massillon, OH",FHFA,OH
Casper,"42.840532,-106.320168","Casper, WY",FHFA,WY
Cedar Rapids,"41.967048,-91.67776","Cedar Rapids, IA",FHFA,IA
Champaign,"40.115057,-88.273652","Champaign-Urbana, IL",FHFA,IL
Urbana,"40.110126,-88.197323","Champaign-Urbana, IL",FHFA,IL
Charleston,"32.817922,-79.958927","Charleston-North Charleston-Summerville, SC",FHFA,SC
North Charleston,"32.917342,-80.06515","Charleston-North Charleston-Summerville, SC",FHFA,SC
Charleston,"38.348692,-81.632324","Charleston, WV",FHFA,WV
Charlotte,"35.208707,-80.830739","Charlotte-Gastonia-Rock Hill, NC-SC",FHFA,NC
Gastonia,"35.249223,-81.182939","Charlotte-Gastonia-Rock Hill, NC-SC",FHFA,NC
Rock Hill,,"Charlotte-Gastonia-Rock Hill, NC-SC",FHFA,NC
Kannapolis,"35.47658,-80.6386","Charlotte-Gastonia-Rock Hill, NC-SC",FHFA,NC
Concord,"35.392048,-80.635543","Charlotte-Gastonia-Rock Hill, NC-SC",FHFA,NC
Charlottesville,"38.037658,-78.485381","Charlottesville, VA",FHFA,VA
Chattanooga,"35.066464,-85.247065","Chattanooga, TN-GA",FHFA,TN
Cheyenne,"41.152195,-104.783238","Cheyenne, WY",FHFA,WY
Chicago,"41.837551,-87.681844","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Aurora,"41.763455,-88.290099","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Elgin,"42.039639,-88.321709","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Joliet,"41.518066,-88.158354","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Evanston,"42.046391,-87.694353","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
North Chicago,"42.316696,-87.859201","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
DeKalb,"41.930614,-88.74783","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Gary,,"Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
East Chicago,,"Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Kankakee,"41.103202,-87.867177","Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Kenosha,,"Chicago-Joliet-Naperville, IL  (MSAD)",FHFA,IL
Chico,"39.755159,-121.818797",,,CA
Paradise,"39.754192,-121.6064",,,CA
Cincinnati,"39.139902,-84.506447","Cincinnati-Middletown, OH-KY-IN",FHFA,OH
Hamilton,"39.394328,-84.565522","Cincinnati-Middletown, OH-KY-IN",FHFA,OH
Middletown,"39.502952,-84.364893","Cincinnati-Middletown, OH-KY-IN",FHFA,OH
Clarksville,"36.56643,-87.345216",,,TN
Hopkinsville,,,,TN
Akron,"41.080456,-81.52143","Cleveland-Elyria-Mentor, OH",FHFA,OH
Kent,"41.149143,-81.361122","Cleveland-Elyria-Mentor, OH",FHFA,OH
Cleveland,"41.478138,-81.679486","Cleveland-Elyria-Mentor, OH",FHFA,OH
Lorain,"41.438805,-82.179722","Cleveland-Elyria-Mentor, OH",FHFA,OH
Elyria,"41.373539,-82.108008","Cleveland-Elyria-Mentor, OH",FHFA,OH
Colorado Springs,"38.867255,-104.760749","Colorado Springs, CO",FHFA,CO
Columbia,"38.947939,-92.326097","Columbia, MO",FHFA,MO
Columbia,"34.029783,-80.896566","Columbia, SC",FHFA,SC
Columbus,"32.510197,-84.874946","Columbus, GA-AL",FHFA,GA
Columbus,"39.984799,-82.985044","Columbus, OH",FHFA,OH
Newark,"40.069732,-82.424925","Columbus, OH",FHFA,OH
Lancaster,"39.724737,-82.605275","Columbus, OH",FHFA,OH
Corpus Christi,"27.754252,-97.173385","Corpus Christi, TX",FHFA,TX
Corvallis,"44.569949,-123.278286","Corvallis, OR",FHFA,OR
Cumberland,"39.651739,-78.757948","Cumberland, MD-WV",FHFA,MD
Dallas,"32.794176,-96.765503","Dallas-Plano-Irving, TX  (MSAD)",FHFA,TX
Irving,"32.857748,-96.970022","Dallas-Plano-Irving, TX  (MSAD)",FHFA,TX
Denton,"33.215139,-97.141687","Dallas-Plano-Irving, TX  (MSAD)",FHFA,TX
Fort Worth,"32.779542,-97.346335","Dallas-Plano-Irving, TX  (MSAD)",FHFA,TX
Arlington,"32.700708,-97.124691","Dallas-Plano-Irving, TX  (MSAD)",FHFA,TX
Danville,"36.583334,-79.408071","Danville, VA",FHFA,VA
Davenport,"41.554104,-90.603997","Davenport-Moline-Rock Island, IA-IL",FHFA,IA
Moline,,"Davenport-Moline-Rock Island, IA-IL",FHFA,IA
Rock Island,,"Davenport-Moline-Rock Island, IA-IL",FHFA,IA
Dayton,"39.777394,-84.199632","Dayton, OH",FHFA,OH
Springfield,"39.933758,-83.795757","Dayton, OH",FHFA,OH
Fairborn,"39.795267,-84.011271","Dayton, OH",FHFA,OH
Daytona Beach,"29.197328,-81.088145",,,FL
Decatur,"34.573039,-86.991684","Decatur, AL",FHFA,AL
Decatur,"39.855983,-88.933746","Decatur, IL",FHFA,IL
Boulder,"40.027443,-105.25174","Denver-Aurora-Broomfield, CO",FHFA,CO
Longmont,"40.169853,-105.101841","Denver-Aurora-Broomfield, CO",FHFA,CO
