Class,City,Location,RegionSeriesName,RegionNameSource,State
City,Abilene,"32.454514,-99.738147","Abilene, TX",FHFA,TX
City,Aguadilla zona urbana,,,,PR
City,Albany,"31.577669,-84.179453","Albany, GA",FHFA,GA
City,Albany,"42.665745,-73.798353","Albany-Schenectady-Troy, NY",FHFA,NY
City,Schenectady,"42.80184,-73.927295","Albany-Schenectady-Troy, NY",FHFA,NY
City,Troy,"42.735812,-73.675321","Albany-Schenectady-Troy, NY",FHFA,NY
City,Saratoga Springs,"43.06781,-73.777636","Albany-Schenectady-Troy, NY",FHFA,NY
City,Albuquerque,"35.105552,-106.647388","Albuquerque, NM",FHFA,NM
City,Alexandria,"31.293449,-92.470189","Alexandria, LA",FHFA,LA
City,Allentown,"40.593966,-75.47816","Allentown-Bethlehem-Easton, PA-NJ",FHFA,PA
City,Bethlehem,"40.626424,-75.367898","Allentown-Bethlehem-Easton, PA-NJ",FHFA,PA
City,Altoona,"40.50819,-78.401306","Altoona, PA",FHFA,PA
City,Amarillo,"35.19784,-101.828746","Amarillo, TX",FHFA,TX
City,Anchorage,"61.177549,-149.274354","Anchorage, AK",FHFA,AK
City,Anniston,"33.673441,-85.810918","Anniston-Oxford, AL",FHFA,AL
City,Appleton,"44.278819,-88.392626",,,WI
City,Oshkosh,"44.022628,-88.562352",,,WI
City,Neenah,"44.167597,-88.475999",,,WI
City,Asheville,"35.570977,-82.552738","Asheville, NC",FHFA,NC
City,Athens,,"Athens-Clarke County, GA",FHFA,GA
City,Atlanta,"33.762909,-84.422675","Atlanta-Sandy Springs-Marietta, GA",FHFA,GA
City,Auburn,"32.607722,-85.489545","Auburn-Opelika, AL",FHFA,AL
City,Opelika,"32.660739,-85.37889","Auburn-Opelika, AL",FHFA,AL
City,Augusta-Richmond,,"Augusta-Richmond County, GA-SC",FHFA,GA
City,Aiken,,"Augusta-Richmond County, GA-SC",FHFA,GA
City,Austin,"30.307182,-97.755996",,,TX
