ClassName,RegionSeriesName,RegionType,Source,SourceType,IxName,key
HousePriceIx,"Abilene, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),1
HousePriceIx,"Akron, OH",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),2
HousePriceIx,"Albany, GA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),3
HousePriceIx,"Albany-Schenectady-Troy, NY",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),4
HousePriceIx,"Albuquerque, NM",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),5
HousePriceIx,"Alexandria, LA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),6
HousePriceIx,"Allentown-Bethlehem-Easton, PA-NJ",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),7
HousePriceIx,"Altoona, PA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),8
HousePriceIx,"Amarillo, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),9
HousePriceIx,"Ames, IA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),10
HousePriceIx,"Anchorage, AK",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),11
HousePriceIx,"Anderson, IN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),12
HousePriceIx,"Anderson, SC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),13
HousePriceIx,"Ann Arbor, MI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),14
HousePriceIx,"Anniston-Oxford, AL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),15
HousePriceIx,"Appleton, WI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),16
HousePriceIx,"Asheville, NC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),17
HousePriceIx,"Athens-Clarke County, GA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),18
HousePriceIx,"Atlanta-Sandy Springs-Marietta, GA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),19
HousePriceIx,"Atlantic City-Hammonton, NJ",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),20
HousePriceIx,"Auburn-Opelika, AL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),21
HousePriceIx,"Augusta-Richmond County, GA-SC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),22
HousePriceIx,"Austin-Round Rock-San Marcos, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),23
HousePriceIx,"Bakersfield-Delano, CA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),24
HousePriceIx,"Baltimore-Towson, MD",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),25
HousePriceIx,"Bangor, ME",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),26
HousePriceIx,"Barnstable Town, MA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),27
HousePriceIx,"Baton Rouge, LA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),28
HousePriceIx,"Battle Creek, MI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),29
HousePriceIx,"Bay City, MI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),30
HousePriceIx,"Beaumont-Port Arthur, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),31
HousePriceIx,"Bellingham, WA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),32
HousePriceIx,"Bend, OR",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),33
HousePriceIx,"Bethesda-Rockville-Frederick, MD  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),34
HousePriceIx,"Billings, MT",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),35
HousePriceIx,"Binghamton, NY",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),36
HousePriceIx,"Birmingham-Hoover, AL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),37
HousePriceIx,"Bismarck, ND",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),38
HousePriceIx,"Blacksburg-Christiansburg-Radford, VA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),39
HousePriceIx,"Bloomington, IN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),40
HousePriceIx,"Bloomington-Normal, IL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),41
HousePriceIx,"Boise City-Nampa, ID",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),42
HousePriceIx,"Boston-Quincy, MA  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),43
HousePriceIx,"Boulder, CO",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),44
HousePriceIx,"Bowling Green, KY",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),45
HousePriceIx,"Bremerton-Silverdale, WA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),46
HousePriceIx,"Bridgeport-Stamford-Norwalk, CT",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),47
HousePriceIx,"Brownsville-Harlingen, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),48
HousePriceIx,"Brunswick, GA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),49
HousePriceIx,"Buffalo-Niagara Falls, NY",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),50
HousePriceIx,"Burlington, NC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),51
HousePriceIx,"Burlington-South Burlington, VT",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),52
HousePriceIx,"Cambridge-Newton-Framingham, MA  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),53
HousePriceIx,"Camden, NJ  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),54
HousePriceIx,"Canton-Massillon, OH",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),55
